filename,filedate,filesize,disk,basedir,uri
syncFiles_ThP480_Net.py,20190312-17:20:34,9612,c:,MARL2019,Tech\python3\syncDir
syncFiles_ThP480_Net_home.py,20190409-21:22:16,3206,c:,MARL2019,Tech\python3\syncDir
syncFiles_ThP480_Net_home_v0.py,20190323-07:34:24,9776,c:,MARL2019,Tech\python3\syncDir
syncFiles_ThP480_Net_ThC.py,20190409-21:36:27,3247,c:,MARL2019,Tech\python3\syncDir
syncFiles_ThP480_v0.py,20190303-11:53:48,8430,c:,MARL2019,Tech\python3\syncDir
2018-11-13-raspbian-stretch-full.zip,20190227-21:31:07,1978611497,c:,MARL2019,Tech\raspbian
NOOBS_lite_v3_0.zip,20190228-07:18:38,34884376,c:,MARL2019,Tech\raspbian
NOOBS_v3_0_0.zip,20190228-07:21:35,1763320689,c:,MARL2019,Tech\raspbian
Summary.docx,20190323-07:13:39,22845,c:,MARL2019,Tech\raspbian
Win32DiskImager-0.9.5-binary.zip,20190228-18:42:01,18288416,c:,MARL2019,Tech\raspbian
Raspberry+Pi+User+Guide+4th+Edition.pdf,20190228-06:52:12,29905851,c:,MARL2019,Tech\raspbian\爱上树莓派\入门手册
入门手册.zip,20190228-06:52:38,31611595,c:,MARL2019,Tech\raspbian\爱上树莓派\入门手册
树莓派3入门使用手册+官方屏一体机入门手册.pdf,20190228-06:49:13,1983671,c:,MARL2019,Tech\raspbian\爱上树莓派\入门手册
必读手册树莓派资料.txt,20190228-07:08:59,229,c:,MARL2019,Tech\raspbian\爱上树莓派
SDFormatter4exe.zip,20190228-06:54:33,6287163,c:,MARL2019,Tech\raspbian\爱上树莓派\树莓派烧写系统攻略\raspbian烧写工具和方法
SDFormatter_4SC.pdf,20190228-06:53:36,422575,c:,MARL2019,Tech\raspbian\爱上树莓派\树莓派烧写系统攻略\raspbian烧写工具和方法
Win32DiskImager-0.9.5-install.exe,20190228-07:09:04,12290974,c:,MARL2019,Tech\raspbian\爱上树莓派\树莓派烧写系统攻略\raspbian烧写工具和方法
折腾树莓派.txt,20190228-06:52:47,343,c:,MARL2019,Tech\raspbian\爱上树莓派\树莓派烧写系统攻略\raspbian烧写工具和方法
shell.txt,20190221-09:37:05,274,c:,MARL2019,Tech
vimrc_example.vim,20190303-12:47:03,1582,c:,MARL2019,Tech
vim_cfg.vim,20190227-08:57:04,92,c:,MARL2019,Tech
88F3700 - Functional Specifications-MV-S110897-00C.pdf,20190226-08:57:08,34028533,c:,MARL2019,work\A37xx
ESPRESSObin-V7-Hardware-Block-diagram-181202.pdf,20190226-17:51:43,82454,c:,MARL2019,work\A37xx
marvell-embedded-processors-armada-37xx-hardware-specifications-2017-11.pdf,20190225-15:57:11,1516396,c:,MARL2019,work\A37xx
marvell-embedded-processors-armada-37xx-product-brief-2016-08.pdf,20190225-15:56:43,59890,c:,MARL2019,work\A37xx
MV-L101120-10B-DB-88F3720-DDR3-Modular - User Guide.pdf,20190313-13:34:54,278132,c:,MARL2019,work\A37xx
MV-L101120-10C-DB-88F3720-DDR3-Modular - User Guide.pdf,20190313-13:36:44,407839,c:,MARL2019,work\A37xx
MV-L101201-10B-DB-88F3720-DDR4-4GB-Modular-UserGuide.pdf,20190311-16:07:29,1919179,c:,MARL2019,work\A37xx
MV-S110707-00B.pdf,20190226-08:55:06,1589581,c:,MARL2019,work\A37xx
MV-S110897-00C-88F3700 - Functional Specifications.pdf,20190226-08:57:08,34028533,c:,MARL2019,work\A37xx
centos7.docx,20181120-15:22:26,38257,c:,MARL2019,work
AN-180-CN7XXX_Boot_Methods_r5.pdf,20190323-07:47:10,500948,c:,MARL2019,work\CN78XX
CN78XX-HM-2.61P.pdf,20190314-11:21:23,23022946,c:,MARL2019,work\CN78XX
PKI-PE-0.95.pdf,20190314-11:21:28,868197,c:,MARL2019,work\CN78XX
CN82XX-AD-1.1.pdf,20190326-10:00:29,97195,c:,MARL2019,work\CN83XX
CN83XX-HM-1.22P.pdf,20180817-10:32:31,28689324,c:,MARL2019,work\CN83XX
CN83XX-PWR-AD-1.2.pdf,20190313-10:13:28,83509,c:,MARL2019,work\CN83XX
CN83XX-SFF-EVB_Quick_Start_Guide_r4.pdf,20190401-12:48:39,547991,c:,MARL2019,work\CN83XX
CN83XX-SFF_EVB-User Manual-r06.pdf,20190401-12:49:54,772599,c:,MARL2019,work\CN83XX
EBB83-UG-0.9.pdf,20190401-12:42:10,2200000,c:,MARL2019,work\CN83XX
DB-CN9130-MODULAR_1_2- Schematics (pdf and Orcad).zip,20190328-09:52:31,3075704,c:,MARL2019,work\CN91XX
MV-L101264-10-0.1-DB-CN9131_Modular_UserGuide.pdf,20190327-11:56:32,3324838,c:,MARL2019,work\CN91XX
MV-L101267-10A-DB-CN9132_Modular_system_UserGuide.pdf,20190327-11:55:42,2388012,c:,MARL2019,work\CN91XX
MV-S111631-00A_Hardware Specifications.pdf,20190327-11:57:16,2765284,c:,MARL2019,work\CN91XX
MV-S111692-00A_Functional Specifications.pdf,20190327-11:57:14,28634407,c:,MARL2019,work\CN91XX
MV-S111757-00-0.1-88F8215-Hardware Specifications (Draft).pdf,20190328-21:48:45,4263806,c:,MARL2019,work\CN91XX
CN96XX-CRB_R1P1.pdf,20190305-18:05:25,1490518,c:,MARL2019,work\CN96XX
CN96XXD-DS-0.6E.pdf,20190322-09:18:37,1372163,c:,MARL2019,work\CN96XX
CNF75XX-HM-1.5PS.pdf,20190320-17:15:52,31111796,c:,MARL2019,work\CNF75XX
201903.pdf,20190329-11:05:15,50351,c:,MARL2019,work\marvell\ADP
Business Travel Request Template.msg,20180903-11:25:35,140288,c:,MARL2019,work\marvell
Cavium-Orientation-International-final.pdf,20180712-14:05:20,1123720,c:,MARL2019,work\marvell
cavium_sales_compliance_letter.pdf,20180821-14:07:16,87416,c:,MARL2019,work\marvell
Code Certification Disclosure Printable.docx,20180713-07:05:29,16477,c:,MARL2019,work\marvell
Code of Business Conduct and Ethics.pdf,20180716-14:39:17,10188340,c:,MARL2019,work\marvell
Customer Info Profile template Marvell-shanping.xlsx,20181107-13:31:43,20576,c:,MARL2019,work\marvell
201811.pdf,20181205-18:49:49,335216,c:,MARL2019,work\marvell\epayslips
201812.pdf,20181229-15:00:37,355518,c:,MARL2019,work\marvell\epayslips
201901.pdf,20190131-20:05:53,340686,c:,MARL2019,work\marvell\epayslips
201902.pdf,20190329-11:07:03,472887,c:,MARL2019,work\marvell\epayslips
International FAQs for Day 1- June-2018-v1.docx,20180704-13:52:53,53798,c:,MARL2019,work\marvell
